STORE_ID	1_CATEGORY	2_CATEGORY	3_CATEGORY	4_CATEGORY	NAME	BUSINESS_NAME	PARTNER_NAME	STREET	NUM	CITY	STATE	ZIP	LOCALE_TYPE	INTRODUCED_DATE	RETIRED_DATE	REINTRODUCED_DATE	STATUS	LAT	LONG	SALES_AREA_LEVEL_1	SALES_AREA_LEVEL_2	SALES_AREA_LEVEL_3	INGESTION_DATE	STORE_PHONE	STORE_LINK	PARTNER_ID
1141	SUDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB BIG SHOPPING	AV JOÃO CESAR DE OLIVEIRA S/N		CONTAGEM	MG	32315-000		2012-11-09T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1142	NORTE	B	M - 828m2 a 1136m2	SHOPPING			LB GRAND SHOPPING MESSEJANA	AV FREI CIRILO 3840		FORTALEZA	CE	60840-280		2011-02-26T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1143	SUDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB SHOPPING PASSEIO DAS AGUAS	AV PERIMETRAL NORTE 8303		GOIANIA	GO	74445-360		2013-04-11T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1144	NORTE	B	G - 1137m2 a 1600m2	RUA			LB CASTANHAL RUA	AV. BARAO DO RIO BRANCO 2079		CASTANHAL	PA	68743-050		2012-11-23T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1145	SUDESTE	B	P - Ate 827m2	SHOPPING			LB SHOPPING CERRADO	AV ANHANGUERA 10790		GOIANIA	GO	74435-300		2012-08-30T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1146	SUDESTE	B	P - Ate 827m2	SHOPPING			LB PARTAGE SHOPPING BETIM	ROD BR-381 FERNAO DIAS S/N		BETIM	MG	32655-505		2011-11-29T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1148	SUDESTE	B	P - Ate 827m2	SHOPPING			LB TIETE PLAZA SHOPPING	AV RAIMUNDO PEREIRA DE MAGALHA		SAO PAULO	SP	05145-907		2011-11-29T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1124	SUDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB SH MESTRE ALVARO	AV JOAO PALACIO 300		SERRA	ES	29160-161		2012-11-09T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1125	SUDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB SH PRAIA DA COSTA	AV DOUTOR OLIVIO LIRA 353		VILA VELHA	ES	29101-950		2012-11-09T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1126	SUDESTE	A	XG - Acima de 1601m2	SHOPPING			LB SH VILA VELHA	LUCIANO DAS NEVES 2418		VILA VELHA	ES	29107-900		2011-09-29T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1127	NORDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB MOSSORÓ RUA	CORONEL GURGEL 378		MOSSORÓ	RN	59600-200		2013-07-25T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1128	BAHIA	B	P - Ate 827m2	SHOPPING			LB ARACAJU PARQUE SHOPPING	AV. JOÃO RODRIGUES 42		ARACAJU	SE	49065-450		2011-06-30T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1131	NORTE	A	P - Ate 827m2	SHOPPING			LB SHOPPING PÁTIO BELÉM	TRAVESSA PADRE EUTIQUIO 1128		BELÉM	PA	66013-090		2018-10-25T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1136	NORDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB VITORIA DE SANTO ANTAO RUA	RUA MELO VERCOSA 137		VITORIA DE SANTO ANTÃO	PE	55602-020		2013-07-25T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1137	BAHIA	B	G - 1137m2 a 1600m2	RUA			LB FEIRA DE SANTANA RUA	AVENIDA SENHOR DOS PASSOS 1350		FEIRA DE SANTANA	BA	44002-200		1988-01-01T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1139	SUDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB MAIS SHOPPING	RUA AMADOR BUENO 229		SAO PAULO	SP	04752-005		2012-11-09T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1130	BAHIA	C	P - Ate 827m2	RUA			LB AGUAS CLARAS RUA	ESTRADA DO MATADOURO 207		SALVADOR	BA	41311-262		2012-07-19T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1129	NORTE	A	P - Ate 827m2	SHOPPING			LB IT CENTER	AV SEN LEMOS 3152		BELEM	PA	66120-000		2012-11-23T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1092	BAHIA	C	P - Ate 827m2	RUA			LB SHOPPING CAJAZEIRAS	EST DO COQUEIRO GRANDE 1361		SALVADOR	BA	41343-855		2014-04-07T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1093	NORTE	B	M - 828m2 a 1136m2	SHOPPING			LB SHOP BOULEVARD BELEM	Av Visconde de Souza Franco 77		BELEM	PA	66053-000		2012-04-19T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1094	NORDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB SHOP COSTA DOURADA	RODOVIA PE-060 3200, LOJA 105		CABO DE SANTO AGOSTINHO	PE	54518-343		2013-07-25T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1123	SUDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB LITORAL PLAZA SHOPPING	AV AYRTON SENNA DA SILVA 1511		PRAIA GRANDE	SP	11726-500		2012-11-09T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1091	NORDESTE	B	P - Ate 827m2	SHOPPING			LB SHOPPING PEIXOTO	AV.JOSE AMANCIO BISPO 5419		ITABAIANA	SE	49505-330		2011-06-30T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1081	NORTE	C	M - 828m2 a 1136m2	SHOPPING			LB PÁTIO NORTE SHOPPING	ETR DE SAO JOSE DE RIBAMAR 100		SÃO JOSÉ DE RIBAMAR	MA	65110-000		2015-03-20T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1083	NORDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB PAULISTA NORTH WAY	RODOVIA PE 15, KM 16,5 S/N		PAULISTA	PE	53401-445		2013-07-25T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1084	NORTE	A	P - Ate 827m2	SHOPPING			LB RIO POTY	AV. MAL CASTELO BRANCO 911, LJ		TERESINA	PI	64003-087		2013-12-05T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1085	BAHIA	B	G - 1137m2 a 1600m2	RUA			LB SH BUSCA VIDA	ESTRADA ESTRADA DO CO KM 10, T		CAMACARI	BA	42840-000		1999-01-01T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1086	NORTE	C	P - Ate 827m2	SHOPPING			LB SH PICOS PLAZA	AV SENADOR HELVIDIO NUNES S/N		PICOS	PI	64607-760		2016-10-06T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1087	NORDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB NATAL NORTE SH	AV DOUTOR JOAO MEDEIROS FILHO		NATAL	RN	59110-200		2013-07-25T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1088	NORDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB SH GUARARAPES	AV BARRETO DE MENEZES S/N, 127		JABOATAO DOS GUARARAPES	PE	54410-100		2013-07-25T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1095	NORTE	B	P - Ate 827m2	SHOPPING			LB NORTH SHOP FORTALEZA	AV BEZERRA DE MENEZE 2450, LOJ		Fortaleza	CE	60325-002		2013-11-26T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1096	NORTE	A	M - 828m2 a 1136m2	SHOPPING			LB GOLDEN SH CALHAU	AVN DOS HOLANDESES 200		SÃO LUIS	MA	65071-380		2014-05-06T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1075	NORDESTE	B	XG - Acima de 1601m2	SHOPPING			LB JARDINS	AVENIDA MINISTRO GERALDO BARRE		ARACAJU	SE	49026-900		2014-07-10T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1089	NORTE	B	M - 828m2 a 1136m2	SHOPPING			LB SH PRESIDENTE KENNEDY	AV SARGENTO HERMINIO SAMPAIO 3		FORTALEZA	CE	60355-512		2013-10-31T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1090	NORDESTE	B	P - Ate 827m2	SHOPPING			LB MANAIRA SHOPPING	AV GOV FLAVIO RIBEIRO COUTINHO		CABEDELO	PB	58102-835		2011-06-30T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1135	NORDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB SHOPPING DIFUSORA	AVENIDA AGAMENON MAGALHAES 444		CARUARU	PE	55014-000		2012-09-20T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1080	NORDESTE	B	P - Ate 827m2	SHOPPING			LB MANGABEIRA SHOPPING	AV. HILTON SOUTO MAIOR 3901		JOAO PESSOA	PB	58055-018		2018-11-10T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1053	NORTE	B	M - 828m2 a 1136m2	SHOPPING			LB NORTH JOQUEI CLUBE	AVENIDA LINEU MACHADO 419		FORTALEZA	CE	60520-101		2013-10-31T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1063	NORTE	B	M - 828m2 a 1136m2	SHOPPING			LB RIO ANIL	AVENIDA SAO LUIS REI DE FRANCA		SAO LUIS	MA	65065-470		2013-10-31T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1064	NORTE	B	P - Ate 827m2	SHOPPING			LB SHOP PARANGABA	RUA GERMANO FRANK 300		FORTALEZA	CE	60740-020		2013-11-26T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1065	NORTE	A	P - Ate 827m2	SHOPPING			LB SHOP DOS HOLANDESES	AVENIDA DOS HOLANDESES 1, QUAD		SAO LUIS	MA	65071-380		2013-12-05T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1066	NORDESTE	C	M - 828m2 a 1136m2	SHOPPING			LB SHOP PATIO MACEIO	AV MENINO MARCELO 3800		MACEIO	AL	57081-385		2013-11-27T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1077	NORTE	C	M - 828m2 a 1136m2	SHOPPING			LB MARACANAU	AV SEN CARLOS JEREISS 100, LOJ		MARACANAU	CE	61901-012		2014-08-29T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1078	BAHIA	B	M - 828m2 a 1136m2	SHOPPING			LB SHOP PATIO MIX	AV SÃO PAULO 2575, LOJA 1012		TEIXEIRA DE FREITA	BA	45990-678					ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1076	BAHIA	B	P - Ate 827m2	RUA			LB LUIS EDUARDO MAGALHAES	RUA PERNAMBUCO 96, Qd11Lote22		LUIS EDUARDO	BA	47850-970		2014-06-30T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1067	NORDESTE	B	M - 828m2 a 1136m2	SHOPPING			LB MACEIO SHOPPING	AVENIDA COMENDADOR GUSTAVO PAI		MACEIO	AL	57032-901		2013-12-12T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1068	BAHIA	A	P - Ate 827m2	RUA			LB MANOEL DIAS	RUA PERNAMBUCO 2089		SALVADOR	BA	41830-390		2014-04-05T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1069	BAHIA	B	M - 828m2 a 1136m2	RUA			LB PAULO AFONSO	AVENIDA APOLONIO SALES 125		PAULO AFONSO	BA	48601-195		2014-04-02T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
1070	NORTE	A	M - 828m2 a 1136m2	SHOPPING			LB SAO LUIS SHOP	AVENIDA PROFESSOR CAR 1000, LU		SAO LUIS	MA	65076-820		2014-05-06T17:39:00Z			ATIVO	0.0	0.0				2019-11-14T19:37:56Z			
